,Date,High,Low,Open,Close,NClose
170,2021-04-06,5550.0,5480.0,5540.0,5480.0,29696.630859375
171,2021-04-07,5650.0,5430.0,5450.0,5620.0,29730.7890625
172,2021-04-08,5650.0,5490.0,5550.0,5630.0,29708.98046875
173,2021-04-09,5690.0,5600.0,5670.0,5610.0,29768.060546875
174,2021-04-12,5660.0,5480.0,5640.0,5490.0,29538.73046875
175,2021-04-13,5480.0,5370.0,5470.0,5390.0,29751.609375
176,2021-04-14,5430.0,5310.0,5410.0,5330.0,29620.990234375
177,2021-04-15,5340.0,5210.0,5320.0,5250.0,29642.689453125
178,2021-04-16,5310.0,5210.0,5300.0,5220.0,29683.369140625
179,2021-04-19,5300.0,5180.0,5210.0,5220.0,29685.369140625
180,2021-04-20,5180.0,5060.0,5160.0,5100.0,29100.380859375
181,2021-04-21,5050.0,4975.0,5010.0,4985.0,28508.55078125
182,2021-04-22,5110.0,4945.0,5060.0,5040.0,29188.169921875
183,2021-04-23,4990.0,4910.0,4950.0,4980.0,29020.630859375
184,2021-04-26,5050.0,4965.0,5000.0,4995.0,29126.23046875
185,2021-04-27,5170.0,5060.0,5060.0,5110.0,28991.890625
186,2021-04-28,5170.0,5090.0,5100.0,5150.0,29053.970703125
187,2021-04-30,5130.0,5000.0,5130.0,5020.0,28812.630859375
188,2021-05-06,5060.0,4980.0,5050.0,5000.0,29331.369140625
189,2021-05-07,5030.0,4940.0,4995.0,4965.0,29357.8203125
190,2021-05-10,5040.0,4970.0,4980.0,5000.0,29518.33984375
191,2021-05-11,4925.0,4745.0,4920.0,4750.0,28608.58984375
192,2021-05-12,4865.0,4540.0,4775.0,4605.0,28147.509765625
193,2021-05-13,4550.0,4405.0,4535.0,4415.0,27448.009765625
194,2021-05-14,4785.0,4600.0,4600.0,4770.0,28084.470703125
195,2021-05-17,4860.0,4555.0,4860.0,4615.0,27824.830078125
196,2021-05-18,4750.0,4585.0,4640.0,4680.0,28406.83984375
197,2021-05-19,4680.0,4555.0,4610.0,4595.0,28044.44921875
198,2021-05-20,4850.0,4730.0,4765.0,4820.0,28098.25
199,2021-05-21,4980.0,4860.0,4900.0,4895.0,28317.830078125
200,2021-05-24,5010.0,4840.0,4850.0,4970.0,28364.609375
201,2021-05-25,5100.0,5010.0,5060.0,5030.0,28553.98046875
202,2021-05-26,5150.0,5030.0,5030.0,5150.0,28642.189453125
203,2021-05-27,5170.0,5080.0,5120.0,5090.0,28549.009765625
204,2021-05-28,5260.0,5150.0,5150.0,5250.0,29149.41015625
205,2021-05-31,5280.0,5200.0,5220.0,5270.0,28860.080078125
206,2021-06-01,5370.0,5220.0,5300.0,5290.0,28814.33984375
207,2021-06-02,5280.0,5200.0,5260.0,5200.0,28946.140625
208,2021-06-03,5340.0,5220.0,5230.0,5310.0,29058.109375
209,2021-06-04,5370.0,5260.0,5290.0,5300.0,28941.51953125
210,2021-06-07,5470.0,5400.0,5440.0,5420.0,29019.240234375
211,2021-06-08,5500.0,5360.0,5430.0,5380.0,28963.560546875
212,2021-06-09,5330.0,5170.0,5320.0,5190.0,28860.80078125
213,2021-06-10,5250.0,5100.0,5120.0,5200.0,28958.560546875
214,2021-06-11,5270.0,5160.0,5240.0,5170.0,28948.73046875
215,2021-06-14,5350.0,5230.0,5260.0,5340.0,29161.80078125
216,2021-06-15,5560.0,5380.0,5390.0,5540.0,29441.30078125
217,2021-06-16,5610.0,5450.0,5460.0,5590.0,29291.009765625
218,2021-06-17,5560.0,5450.0,5540.0,5510.0,29018.330078125
219,2021-06-18,5650.0,5560.0,5640.0,5590.0,28964.080078125
220,2021-06-21,5470.0,5300.0,5450.0,5330.0,28010.9296875
221,2021-06-22,5460.0,5310.0,5430.0,5340.0,28884.130859375
222,2021-06-23,5390.0,5350.0,5380.0,5360.0,28874.890625
223,2021-06-24,5420.0,5320.0,5400.0,5420.0,28875.23046875
224,2021-06-25,5490.0,5370.0,5470.0,5440.0,29066.1796875
225,2021-06-28,5460.0,5380.0,5410.0,5430.0,29048.01953125
226,2021-06-29,5470.0,5380.0,5450.0,5430.0,28812.609375
227,2021-06-30,5570.0,5420.0,5420.0,5490.0,28791.529296875
228,2021-07-01,5530.0,5420.0,5520.0,5450.0,28707.0390625
229,2021-07-02,5480.0,5340.0,5360.0,5440.0,28783.279296875
230,2021-07-05,5590.0,5430.0,5490.0,5540.0,28598.189453125
231,2021-07-06,5640.0,5500.0,5510.0,5610.0,28643.2109375
232,2021-07-07,5660.0,5530.0,5560.0,5640.0,28366.94921875
233,2021-07-08,5630.0,5490.0,5590.0,5520.0,28118.029296875
234,2021-07-09,5510.0,5230.0,5470.0,5360.0,27940.419921875
235,2021-07-12,5510.0,5440.0,5480.0,5500.0,28569.01953125
236,2021-07-13,5550.0,5480.0,5510.0,5510.0,28718.240234375
237,2021-07-14,5640.0,5410.0,5470.0,5620.0,28608.490234375
238,2021-07-15,5650.0,5540.0,5570.0,5550.0,28279.08984375
239,2021-07-16,5550.0,5400.0,5520.0,5510.0,28003.080078125
240,2021-07-19,5440.0,5220.0,5410.0,5310.0,27652.740234375
241,2021-07-20,5320.0,5180.0,5260.0,5200.0,27388.16015625
242,2021-07-21,5300.0,5150.0,5270.0,5210.0,27548.0
243,2021-07-26,5430.0,5340.0,5360.0,5380.0,27833.2890625
244,2021-07-27,5500.0,5360.0,5380.0,5470.0,27970.220703125
245,2021-07-28,5540.0,5370.0,5420.0,5470.0,27581.66015625
246,2021-07-29,5670.0,5520.0,5530.0,5670.0,27782.419921875
247,2021-07-30,5780.0,5570.0,5720.0,5590.0,27283.58984375
248,2021-08-02,5790.0,5620.0,5630.0,5660.0,27781.01953125
249,2021-08-03,5720.0,5630.0,5650.0,5670.0,27641.830078125
250,2021-08-04,5670.0,5580.0,5610.0,5660.0,27584.080078125
251,2021-08-05,5710.0,5630.0,5640.0,5680.0,27728.119140625
252,2021-08-06,6030.0,5780.0,5780.0,6020.0,27820.0390625
253,2021-08-10,6180.0,5990.0,6060.0,6110.0,27888.150390625
254,2021-08-11,6130.0,5940.0,6060.0,6000.0,28070.509765625
255,2021-08-12,6100.0,5900.0,5960.0,5920.0,28015.01953125
256,2021-08-13,5980.0,5800.0,5980.0,5840.0,27977.150390625
257,2021-08-16,5860.0,5740.0,5850.0,5810.0,27523.189453125
258,2021-08-17,5890.0,5810.0,5830.0,5820.0,27424.470703125
259,2021-08-18,5950.0,5750.0,5760.0,5930.0,27585.91015625
260,2021-08-19,5970.0,5670.0,5830.0,5670.0,27281.169921875
261,2021-08-20,5770.0,5510.0,5700.0,5560.0,27013.25
262,2021-08-23,5720.0,5590.0,5590.0,5710.0,27494.240234375
263,2021-08-24,5850.0,5730.0,5730.0,5800.0,27732.099609375
264,2021-08-25,5930.0,5730.0,5830.0,5900.0,27724.80078125
265,2021-08-26,6030.0,5890.0,5980.0,5910.0,27742.2890625
266,2021-08-27,5990.0,5830.0,5860.0,5980.0,27641.140625
267,2021-08-30,6180.0,6040.0,6050.0,6160.0,27789.2890625
268,2021-08-31,6250.0,6070.0,6140.0,6240.0,28089.5390625
269,2021-09-01,6540.0,6260.0,6260.0,6530.0,28451.01953125
270,2021-09-02,6770.0,6620.0,6620.0,6660.0,28543.509765625
271,2021-09-03,6770.0,6620.0,6640.0,6740.0,29128.109375
272,2021-09-06,7060.0,6830.0,6860.0,7030.0,29659.890625
273,2021-09-07,7220.0,6940.0,7180.0,7070.0,29916.140625
274,2021-09-08,7130.0,6960.0,6990.0,7130.0,30181.2109375
275,2021-09-09,7070.0,6930.0,6980.0,6980.0,30008.189453125
276,2021-09-10,7250.0,6990.0,7030.0,7250.0,30381.83984375
277,2021-09-13,7350.0,7160.0,7200.0,7320.0,30447.369140625
278,2021-09-14,7570.0,7350.0,7380.0,7570.0,30670.099609375
279,2021-09-15,7610.0,7380.0,7450.0,7600.0,30511.7109375
280,2021-09-16,7710.0,7450.0,7680.0,7520.0,30323.33984375
281,2021-09-17,7710.0,7510.0,7530.0,7660.0,30500.05078125
282,2021-09-21,7470.0,7300.0,7300.0,7390.0,29839.7109375
283,2021-09-22,7350.0,7150.0,7350.0,7200.0,29639.400390625
284,2021-09-24,7440.0,7230.0,7440.0,7320.0,30248.810546875
285,2021-09-27,7310.0,7170.0,7290.0,7230.0,30240.060546875
286,2021-09-28,7130.0,6970.0,7130.0,7080.0,30183.9609375
287,2021-09-29,6920.0,6670.0,6820.0,6740.0,29544.2890625
288,2021-09-30,6780.0,6490.0,6750.0,6610.0,29452.66015625
289,2021-10-01,6690.0,6410.0,6550.0,6450.0,28771.0703125
290,2021-10-04,6560.0,6080.0,6550.0,6200.0,28444.890625
291,2021-10-05,6180.0,5820.0,6000.0,6180.0,27822.119140625
292,2021-10-06,6360.0,5930.0,6170.0,6010.0,27528.869140625
293,2021-10-07,6300.0,6100.0,6160.0,6150.0,27678.2109375
294,2021-10-08,6310.0,6060.0,6230.0,6070.0,28048.939453125
295,2021-10-11,6130.0,5850.0,6010.0,6070.0,28498.19921875
296,2021-10-12,6140.0,6020.0,6130.0,6040.0,28230.609375
297,2021-10-13,5890.0,5670.0,5850.0,5670.0,28140.279296875
298,2021-10-14,5810.0,5630.0,5750.0,5720.0,28550.9296875
299,2021-10-15,5920.0,5770.0,5840.0,5920.0,29068.630859375
300,2021-10-18,6030.0,5840.0,5940.0,5870.0,29025.4609375
301,2021-10-19,5770.0,5610.0,5670.0,5750.0,29215.51953125
302,2021-10-20,5800.0,5560.0,5750.0,5590.0,29255.55078125
303,2021-10-21,5660.0,5490.0,5510.0,5550.0,28708.580078125
304,2021-10-22,5600.0,5480.0,5560.0,5530.0,28804.849609375
305,2021-10-25,5550.0,5430.0,5470.0,5540.0,28600.41015625
306,2021-10-26,5660.0,5580.0,5610.0,5620.0,29106.009765625
307,2021-10-27,5680.0,5540.0,5650.0,5560.0,29098.240234375
308,2021-10-28,5690.0,5560.0,5580.0,5680.0,28820.08984375
309,2021-10-29,5800.0,5660.0,5800.0,5750.0,28892.689453125
310,2021-11-01,5770.0,5630.0,5760.0,5700.0,29647.080078125
311,2021-11-02,5750.0,5640.0,5700.0,5660.0,29520.900390625
312,2021-11-04,5900.0,5740.0,5760.0,5900.0,29794.369140625
313,2021-11-05,6050.0,5730.0,6030.0,5800.0,29611.5703125
314,2021-11-08,5990.0,5660.0,5990.0,5920.0,29507.05078125
315,2021-11-09,6290.0,5880.0,5900.0,6140.0,29285.4609375
316,2021-11-10,6200.0,6060.0,6080.0,6090.0,29106.779296875
317,2021-11-11,6130.0,5970.0,6050.0,6120.0,29277.859375
318,2021-11-12,6330.0,6080.0,6180.0,6280.0,29609.970703125
319,2021-11-15,6470.0,6350.0,6350.0,6430.0,29776.80078125
320,2021-11-16,6480.0,6340.0,6430.0,6440.0,29808.119140625
321,2021-11-17,6600.0,6450.0,6470.0,6560.0,29688.330078125
322,2021-11-18,6640.0,6340.0,6610.0,6430.0,29598.66015625
323,2021-11-19,6870.0,6450.0,6450.0,6870.0,29745.869140625
324,2021-11-22,6930.0,6760.0,6810.0,6880.0,29774.109375
325,2021-11-24,6810.0,6620.0,6750.0,6730.0,29302.66015625
326,2021-11-25,6830.0,6730.0,6790.0,6730.0,29499.279296875
327,2021-11-26,6700.0,6390.0,6700.0,6490.0,28751.619140625
328,2021-11-29,6500.0,6280.0,6320.0,6320.0,28283.919921875
329,2021-11-30,6520.0,6250.0,6500.0,6260.0,27821.759765625
330,2021-12-01,6450.0,6210.0,6380.0,6330.0,27935.619140625
331,2021-12-02,6490.0,6060.0,6300.0,6130.0,27753.369140625
332,2021-12-03,6180.0,5940.0,6120.0,6170.0,28029.5703125
333,2021-12-06,6150.0,6060.0,6130.0,6110.0,27927.369140625
334,2021-12-07,6260.0,6060.0,6190.0,6230.0,28455.599609375
335,2021-12-08,6570.0,6350.0,6380.0,6550.0,28860.619140625
336,2021-12-09,6720.0,6470.0,6480.0,6660.0,28725.470703125
337,2021-12-10,6700.0,6560.0,6610.0,6580.0,28437.76953125
338,2021-12-13,6730.0,6530.0,6690.0,6570.0,28640.490234375
339,2021-12-14,6550.0,6420.0,6490.0,6470.0,28432.640625
340,2021-12-15,6510.0,6350.0,6400.0,6500.0,28459.720703125
341,2021-12-16,6730.0,6590.0,6720.0,6660.0,29066.3203125
342,2021-12-17,6580.0,6430.0,6500.0,6460.0,28545.6796875
343,2021-12-20,6440.0,6270.0,6360.0,6300.0,27937.810546875
344,2021-12-21,6490.0,6340.0,6440.0,6490.0,28517.58984375
345,2021-12-22,6520.0,6410.0,6440.0,6510.0,28562.2109375
346,2021-12-23,6630.0,6550.0,6610.0,6620.0,28798.369140625
347,2021-12-24,6700.0,6610.0,6650.0,6650.0,28782.58984375
348,2021-12-27,6680.0,6580.0,6670.0,6630.0,28676.4609375
349,2021-12-28,6710.0,6650.0,6700.0,6700.0,29069.16015625
350,2021-12-29,6680.0,6520.0,6650.0,6600.0,28906.880859375
351,2021-12-30,6650.0,6510.0,6570.0,6620.0,28791.7109375
352,2022-01-04,6880.0,6660.0,6720.0,6800.0,29301.7890625
353,2022-01-05,7050.0,6730.0,6730.0,7030.0,29332.16015625
354,2022-01-06,6880.0,6620.0,6880.0,6650.0,28487.869140625
355,2022-01-07,6820.0,6630.0,6730.0,6700.0,28478.560546875
356,2022-01-11,6710.0,6350.0,6700.0,6380.0,28222.48046875
357,2022-01-12,6570.0,6420.0,6480.0,6530.0,28765.66015625
358,2022-01-13,6660.0,6470.0,6530.0,6510.0,28489.130859375
359,2022-01-14,6320.0,6170.0,6310.0,6260.0,28124.279296875
360,2022-01-17,6420.0,6220.0,6300.0,6350.0,28333.51953125
361,2022-01-18,6580.0,6370.0,6390.0,6420.0,28257.25
362,2022-01-19,6170.0,5980.0,6150.0,6000.0,27467.23046875
363,2022-01-20,5960.0,5750.0,5900.0,5860.0,27772.9296875
364,2022-01-21,5690.0,5560.0,5660.0,5650.0,27522.259765625
365,2022-01-24,5660.0,5440.0,5570.0,5620.0,27588.369140625
366,2022-01-25,5670.0,5470.0,5610.0,5530.0,27131.33984375
367,2022-01-26,5510.0,5300.0,5510.0,5460.0,27011.330078125
368,2022-01-27,5540.0,5110.0,5530.0,5160.0,26170.30078125
369,2022-01-28,5300.0,5120.0,5260.0,5280.0,26717.33984375
370,2022-01-31,5550.0,5260.0,5310.0,5480.0,27001.98046875
371,2022-02-01,5830.0,5640.0,5750.0,5700.0,27078.48046875
372,2022-02-02,5930.0,5670.0,5780.0,5900.0,27533.599609375
373,2022-02-03,5880.0,5660.0,5760.0,5710.0,27241.310546875
374,2022-02-04,5820.0,5590.0,5610.0,5820.0,27439.990234375
375,2022-02-07,5320.0,5130.0,5280.0,5290.0,27248.869140625
376,2022-02-08,5340.0,5170.0,5230.0,5210.0,27284.51953125
377,2022-02-09,5390.0,5230.0,5290.0,5370.0,27579.869140625
378,2022-02-10,5470.0,5310.0,5440.0,5340.0,27696.080078125
379,2022-02-14,5240.0,5110.0,5140.0,5210.0,27079.58984375
380,2022-02-15,5260.0,5020.0,5240.0,5050.0,26865.189453125
381,2022-02-16,5250.0,5140.0,5210.0,5230.0,27460.400390625
382,2022-02-17,5340.0,5140.0,5280.0,5150.0,27232.869140625
383,2022-02-18,5200.0,5060.0,5060.0,5190.0,27122.0703125
